Tuples,F(X),E(X),Type
"(0, 0, 3, 4, 2, 2)",1.0,1.8333333333333333,Unique
"(2, 0, 0, 3, 4, 2)",1.0,1.8333333333333333,rotation1
"(2, 2, 0, 0, 3, 4)",1.0,1.8333333333333333,rotation2
"(4, 2, 2, 0, 0, 3)",5.0,1.8333333333333333,rotation3
"(3, 4, 2, 2, 0, 0)",13.0,1.8333333333333333,rotation4
"(0, 3, 4, 2, 2, 0)",4.0,1.8333333333333333,rotation5
"(0, 1, 1, 2, 3, 3)",2.0,1.6666666666666667,Unique
"(3, 0, 1, 1, 2, 3)",5.0,1.6666666666666667,rotation1
"(3, 3, 0, 1, 1, 2)",13.0,1.6666666666666667,rotation2
"(2, 3, 3, 0, 1, 1)",17.0,1.6666666666666667,rotation3
"(1, 2, 3, 3, 0, 1)",11.0,1.6666666666666667,rotation4
"(1, 1, 2, 3, 3, 0)",7.0,1.6666666666666667,rotation5
"(0, 3, 2, 0, 3, 2)",4.0,1.6666666666666667,Unique
"(2, 0, 3, 2, 0, 3)",5.0,1.6666666666666667,rotation1
"(3, 2, 0, 3, 2, 0)",13.0,1.6666666666666667,rotation2
"(2, 2, 2, 2, 2, 2)",1.0,2.0,Unique
